update,rollout_steps,episodes_finished,completed,timeouts,trained_win_rate,opponent_win_rate,average_step_reward,trainable_samples,fighter_samples,cleric_samples,wizard_samples,policy_loss,value_loss,entropy,loss,checkpoint,curriculum_level,curriculum_stage,curriculum_kind,training_classes,curriculum_window_size,curriculum_window_win_rate,curriculum_threshold,curriculum_updates_on_level
365,1024,8,7,1,0.2857142857142857,0.7142857142857143,0.0017460937500000005,364,165,199,0,0.10592416673898697,2.792834907770157,1.5326066613197327,1.4870155453681946,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.1,0.7,303
370,1024,10,8,2,0.375,0.625,0.047447265625000005,409,245,164,0,0.1407196195796132,1.9142253696918488,1.5912390798330307,1.0819199308753014,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.23333333333333334,0.7,308
375,1024,9,6,3,0.3333333333333333,0.6666666666666666,0.0124560546875,381,187,194,0,0.09287574980407953,1.4165558889508247,1.492787018418312,0.7862258218228817,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.26666666666666666,0.7,313
380,1024,5,3,2,0.3333333333333333,0.6666666666666666,-0.0071416015625,361,206,155,0,0.41653604805469513,1.3926578015089035,1.3790472894906998,1.0990744680166245,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.23333333333333334,0.7,318
385,1024,11,10,1,0.5,0.5,0.0495185546875,401,196,205,0,0.17200150713324547,2.1165780276060104,1.4291746616363525,1.2159987837076187,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.23333333333333334,0.7,323
390,1024,6,6,0,0.16666666666666666,0.8333333333333334,0.021287109375000002,434,220,214,0,0.1445483472198248,1.7736863195896149,1.455399677157402,1.0168375074863434,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.13333333333333333,0.7,328
395,1024,5,3,2,0.6666666666666666,0.3333333333333333,0.006454101562500001,439,260,179,0,0.2475749757140875,0.8846596330404282,1.6492552161216736,0.6734122410416603,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.16666666666666666,0.7,333
400,1024,10,10,0,0.3,0.7,0.053298828125,443,282,161,0,0.2126383949071169,1.9607414901256561,1.6592632830142975,1.176416501402855,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.3333333333333333,0.7,338
405,1024,8,8,0,0.125,0.875,0.035684570312500004,436,269,167,0,0.15024645533412695,1.9648660272359848,1.8022370636463165,1.114657074213028,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.13333333333333333,0.7,343
410,1024,10,10,0,0.2,0.8,0.0644609375,405,237,168,0,0.1632721284404397,1.4066252410411835,1.5228803604841232,0.8513559475541115,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.3333333333333333,0.7,348
415,1024,13,13,0,0.23076923076923078,0.7692307692307693,0.0768017578125,390,250,140,0,0.17137507442384958,2.0747980177402496,1.632214680314064,1.1924519538879395,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.13333333333333333,0.7,353
420,1024,8,8,0,0.125,0.875,0.051431640625000004,374,243,131,0,0.27757678180933,1.2494725435972214,1.6164117455482483,0.8861489370465279,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.1,0.7,358
425,1024,8,8,0,0.375,0.625,0.03310546875,367,193,174,0,0.25214449129998684,1.7877860367298126,1.5562635362148285,1.1304748803377151,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.2,0.7,363
